user;eventsPerDay;commitCommentEventsPerDay;createEventsPerDay;deleteEventsPerDay;downloadEventsPerDay;followEventsPerDay;forkEventsPerDay;forkApplyEventsPerDay;gistEventsPerDay;gollumEventsPerDay;issueEventsPerDay;issueCommentEventsPerDay;memberEventsPerDay;publicEventsPerDay;pullRequestEventsPerDay;pullRequestReviewEventsPerDay;pushDatesEventsPerDay;teamAddEventsPerDay;watchDatesEventsPerDay
Wolfy87;4.400070278900288;0.04400070278900288;0.014666900929667628;0.0;0.0;0.014666900929667628;0.24933731580434965;0.0;0.0;0.014666900929667628;0.4986746316086993;2.009365427364465;0.0;0.0;0.35200562231202304;0.1613359102263439;0.1613359102263439;0.0;0.8800140557800576
douglance;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
davclark;1.1300156706841369;0.0;0.03766718902280456;0.0;0.0;0.0602675024364873;0.007533437804560912;0.0;0.0;0.0;0.1017014103615723;0.1619689127980596;0.0;0.0;0.03390047012052411;0.0;0.38797204693488696;0.0;0.339004701205241
fippo;1.8723088269392878;0.03744617653878576;0.15602573557827398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01872308826939288;0.0;1.6538727971297043;0.0;0.0062410294231309595
cgfmedia;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
pcbsd-commit-bot;3.45000389323356;0.0;0.023000025954890403;0.011500012977445202;0.0;0.023000025954890403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046000051909780806;0.0;3.3465037764365535;0.0;0.0
leonaschmidt-speicher;1.9537197557850303;0.6512399185950102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3024798371900204;0.0;0.0
dxypher;0.7248643951679153;0.003918185919826569;0.1018728339154908;0.0;0.0;0.007836371839653139;0.12146376351462365;0.0;0.1018728339154908;0.019590929599132847;0.07052734655687824;0.007836371839653139;0.031345487358612555;0.0;0.003918185919826569;0.0;0.227254783349941;0.0;0.027427301438785984
jproyo;10.758329404108087;0.0;1.9364992927394558;0.10758329404108088;0.0;0.0;0.0;0.0;0.0;0.0;0.1434443920547745;0.07172219602738725;0.0;0.0;0.17930549006846813;0.0;8.283913641163227;0.0;0.035861098013693624
jbdeboer;9.041033105458837;0.24109421614556897;0.18082066210917674;0.0;0.0;0.21095743912737286;0.09041033105458837;0.0;0.0;0.0;1.0849239726550604;2.2903950533829054;0.0;0.06027355403639224;2.0493008372373365;0.3315045472001574;2.380805384437494;0.0;0.12054710807278449
hanzz;0.33674034607163333;0.0012852684964566158;0.005141073985826463;0.0025705369929132317;0.0;0.01799375895039262;0.05141073985826464;0.0;0.0;0.0;0.0025705369929132317;0.016708490453936006;0.0;0.0;0.06426342482283079;0.0;0.09896567422715942;0.0;0.07583084129094034
